Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
Breast,2003,10,85,30,0.031578947
Breast,2004,6,93,10,0.011869436
Breast,2005,13,82,20,0.015873016
Breast,2008,9,106,15,0.01417004
Breast,2009,9,92,13,0.007707129
Breast,2010,5,91,10,0.015444015
Breast,2011,9,139,9,0.014675052
Breast,2012,4,127,4,0.007827789
Breast,2013,6,229,7,0.005681818
Breast,2014,7,118,7,0.007541478
Breast,2015,2,151,4,0.002928258
Breastfeed Med,2011,2,77,2,0.009615385
Breastfeed Med,2012,1,90,2,0.003787879
Breastfeed Med,2013,3,81,4,0.008849558
Breastfeed Med,2014,2,99,2,0.007772021
Breastfeed Med,2015,1,79,1,0.002277904
Breed. Sci.,2012,25,48,37,2
Breed. Sci.,2013,12,42,20,0.125
Breed. Sci.,2014,9,50,21,0.021126761
Breed. Sci.,2015,7,45,13,0.014925373
Brief Funct Genomics,2011,7,32,45,0.229166667
Brief Funct Genomics,2012,5,45,15,0.142857143
Brief Funct Genomics,2013,5,42,21,0.102739726
Brief Funct Genomics,2014,2,40,7,0.035175879
Brief Funct Genomics,2015,4,33,4,0.020100503
Brief. Bioinformatics,2006,9,21,201,0.511811024
Brief. Bioinformatics,2007,9,28,42,0.176
Brief. Bioinformatics,2008,15,30,69,0.231343284
Brief. Bioinformatics,2009,18,37,59,0.151315789
Brief. Bioinformatics,2010,12,37,76,0.220994475
Brief. Bioinformatics,2011,12,51,36,0.099502488
Brief. Bioinformatics,2012,6,52,19,0.039130435
Brief. Bioinformatics,2013,14,50,44,0.099173554
Brief. Bioinformatics,2014,10,71,41,0.124
Brief. Bioinformatics,2015,10,73,15,0.05
Bull Cancer,1999,6,106,16,0.021341463
Bull Cancer,2000,7,114,154,0.013050571
Bull Cancer,2001,5,139,7,0.003144654
Bull Cancer,2002,6,118,9,0.004680187
Bull Cancer,2003,6,141,21,0.005008347
Bull Cancer,2004,3,156,10,0.004709576
Bull Cancer,2005,10,107,18,0.015151515
Bull Cancer,2006,11,142,23,0.009569378
Bull Cancer,2008,9,143,16,0.009244992
Bull Cancer,2009,3,155,3,0.001592357
Bull Cancer,2010,3,161,6,0.00297619
Bull Cancer,2011,6,159,6,0.00728863
Bull Cancer,2012,1,146,1,0.001485884
Bull Cancer,2014,1,151,1,0.001510574
Bull Environ Contam Toxicol,1999,10,209,11,0.001828154
Bull Environ Contam Toxicol,2000,4,233,26,0.000956023
Bull Environ Contam Toxicol,2001,5,241,5,0.001003009
Bull Environ Contam Toxicol,2002,4,249,4,0.002098636
Bull Environ Contam Toxicol,2003,3,350,5,0.001046025
Bull Environ Contam Toxicol,2004,5,327,7,0.00091659
Bull Environ Contam Toxicol,2005,5,330,5,0.00084317
Bull Environ Contam Toxicol,2007,3,245,3,0.001549187
Bull Environ Contam Toxicol,2008,6,228,7,0.001686341
Bull Environ Contam Toxicol,2009,9,319,12,0.005514706
Bull Environ Contam Toxicol,2010,5,273,5,0.002772643
Bull Environ Contam Toxicol,2011,7,259,7,0.002749771
Bull Environ Contam Toxicol,2012,9,428,13,0.009927798
Bull Environ Contam Toxicol,2014,3,261,4,0.003202562
Bull Environ Contam Toxicol,2015,1,262,1,0.000808407
Bull Hist Med,2008,1,20,1,0.011363636
Bull Korean Chem Soc,2014,1,0,3,0.4
Bull Rheum Dis,1999,2,10,3,0.0125
Bull Rheum Dis,2000,1,5,1,0.013888889
Bull Soc Pathol Exot,2003,1,73,2,0.00536193
Bull. Acad. Natl. Med.,1999,1,80,1,0.002257336
Bull. Acad. Natl. Med.,2000,3,98,5,0.002375297
Bull. Acad. Natl. Med.,2001,2,80,2,0.0025
Bull. Acad. Natl. Med.,2002,1,82,1,0.002747253
Bull. Acad. Natl. Med.,2004,1,80,2,0.005555556
Bull. Acad. Natl. Med.,2005,6,99,6,0.014749263
Bull. Acad. Natl. Med.,2006,2,93,2,0.002754821
Bull. Acad. Natl. Med.,2007,3,108,19,0.023872679
Bull. Acad. Natl. Med.,2008,3,91,3,0.002531646
Bull. Acad. Natl. Med.,2009,2,116,3,0.007352941
Bull. Acad. Natl. Med.,2011,1,109,1,0.002375297
Bull. Acad. Natl. Med.,2013,1,107,1,0.002277904
Bull. Entomol. Res.,2001,2,51,6,0.018867925
Bull. Entomol. Res.,2004,2,57,2,0.008695652
Bull. Entomol. Res.,2006,2,71,2,0.004098361
Bull. Entomol. Res.,2007,3,66,3,0.007782101
Bull. Entomol. Res.,2009,3,60,3,0.007326007
Bull. Entomol. Res.,2010,4,77,5,0.010909091
Bull. Entomol. Res.,2011,5,69,12,0.03180212
Bull. Entomol. Res.,2013,2,74,4,0.006734007
Bull. Entomol. Res.,2014,3,80,3,0.003225806
Bull. Entomol. Res.,2015,3,79,5,0.009615385
Bull. Exp. Biol. Med.,2001,24,308,69,0.049056604
Bull. Exp. Biol. Med.,2002,18,334,86,0.072026801
Bull. Exp. Biol. Med.,2003,31,369,85,0.028451001
Bull. Exp. Biol. Med.,2004,21,331,80,0.025203855
Bull. Exp. Biol. Med.,2005,28,375,61,0.013927577
Bull. Exp. Biol. Med.,2006,19,374,24,0.00729927
Bull. Exp. Biol. Med.,2007,33,378,54,0.018087855
Bull. Exp. Biol. Med.,2008,22,405,34,0.012828736
Bull. Exp. Biol. Med.,2009,21,404,38,0.017747858
Bull. Exp. Biol. Med.,2010,11,252,11,0.002412545
Bull. Exp. Biol. Med.,2011,16,367,22,0.012434555
Bull. Exp. Biol. Med.,2012,14,410,17,0.008666667
Bull. Exp. Biol. Med.,2013,8,388,8,0.004676019
Bull. Exp. Biol. Med.,2014,14,391,17,0.009549795
Bull. Exp. Biol. Med.,2015,5,399,5,0.001865672
Bull. Math. Biol.,2001,4,45,8,0.025316456
Bull. Math. Biol.,2002,5,40,8,0.005747126
Bull. Math. Biol.,2004,2,80,3,0.005128205
Bull. Math. Biol.,2005,3,58,3,0.004366812
Bull. Math. Biol.,2006,5,99,7,0.008298755
Bull. Math. Biol.,2007,2,115,3,0.003333333
Bull. Math. Biol.,2008,5,99,7,0.008219178
Bull. Math. Biol.,2010,3,87,3,0.004854369
Bull. Math. Biol.,2011,2,126,2,0.002512563
Bull. Math. Biol.,2012,1,121,1,0.00243309
Bull. Math. Biol.,2013,1,110,1,0.002325581
Bull. Math. Biol.,2014,1,120,1,0.002188184
Bull. World Health Organ.,1999,7,143,20,0.002570694
Bull. World Health Organ.,2000,7,183,15,0.010526316
Bull. World Health Organ.,2001,6,155,31,0.00309119
Bull. World Health Organ.,2002,6,133,11,0.00248139
Bull. World Health Organ.,2003,9,117,32,0.009750813
Bull. World Health Organ.,2004,8,109,35,0.007454739
Bull. World Health Organ.,2005,9,115,26,0.008714597
Bull. World Health Organ.,2006,4,127,17,0.014755959
Bull. World Health Organ.,2007,3,130,17,0.012672811
Bull. World Health Organ.,2008,4,117,10,0.003512881
Bull. World Health Organ.,2009,1,123,3,0.005841121
Bull. World Health Organ.,2010,2,128,2,0.001162791
Bull. World Health Organ.,2011,4,110,6,0.003584229
Bull. World Health Organ.,2012,3,112,4,0.002478315
Bull. World Health Organ.,2014,1,106,1,0.001386963
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2010,4,158,5,0.005908419
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2013,2,187,2,0.001398601
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2015,2,162,9,0.005442177
Burns,1999,17,109,117,0.023178808
Burns,2000,13,107,41,0.019607843
Burns,2001,25,117,269,0.056798623
Burns,2002,6,142,76,0.028667791
Burns,2003,16,128,111,0.064569536
Burns,2004,20,138,127,0.087096774
Burns,2005,20,176,112,0.08320951
Burns,2006,17,168,41,0.012195122
Burns,2007,23,133,52,0.028423773
Burns,2008,16,169,41,0.01867995
Burns,2009,14,154,25,0.01547619
Burns,2010,20,194,30,0.020656136
Burns,2011,19,195,32,0.020713464
Burns,2012,14,158,33,0.017467249
Burns,2013,5,226,5,0.002249719
Burns,2014,7,242,8,0.006103764
Burns,2015,8,240,9,0.006597549
C R Chim,2011,1,0,1,1
"C. R. Acad. Sci. III, Sci. Vie",1999,13,83,53,0.053475936
"C. R. Acad. Sci. III, Sci. Vie",2000,7,117,9,0.008264463
"C. R. Acad. Sci. III, Sci. Vie",2001,10,115,24,0.018372703
C. R. Biol.,2003,12,130,51,0.198473282
C. R. Biol.,2004,16,102,45,0.043636364
C. R. Biol.,2005,11,90,47,0.053435115
C. R. Biol.,2006,4,103,7,0.008080808
C. R. Biol.,2007,5,101,24,0.016877637
C. R. Biol.,2008,10,102,22,0.03652968
C. R. Biol.,2009,6,104,7,0.016129032
C. R. Biol.,2010,7,97,8,0.013513514
C. R. Biol.,2011,5,99,12,0.022727273
C. R. Biol.,2012,2,82,6,0.011363636
C. R. Biol.,2014,2,80,4,0.00795756
C. R. Biol.,2015,1,98,1,0.002824859
CA Cancer J Clin,1999,10,8,180,0.18699187
CA Cancer J Clin,2000,8,11,24,0.056451613
CA Cancer J Clin,2001,8,12,45,0.088709677
CA Cancer J Clin,2002,7,12,62,0.181818182
CA Cancer J Clin,2003,5,15,182,0.24137931
CA Cancer J Clin,2004,6,12,35,0.112068966
CA Cancer J Clin,2005,8,12,75,0.285714286
CA Cancer J Clin,2006,7,14,58,0.299065421
CA Cancer J Clin,2007,8,15,83,0.384615385
CA Cancer J Clin,2008,6,13,97,0.551020408
CA Cancer J Clin,2009,7,18,76,0.34375
CA Cancer J Clin,2010,12,8,115,0.548672566
CA Cancer J Clin,2011,5,26,57,0.227642276
CA Cancer J Clin,2012,9,23,55,0.312977099
CA Cancer J Clin,2013,6,29,51,0.305555556
CA Cancer J Clin,2014,4,35,23,0.131944444
CA Cancer J Clin,2015,4,32,17,0.099337748
Calcif. Tissue Int.,1999,31,145,104,0.0269179
Calcif. Tissue Int.,2000,24,141,40,0.013386881
Calcif. Tissue Int.,2001,13,102,30,0.018617021
Calcif. Tissue Int.,2002,21,98,70,0.031674208
Calcif. Tissue Int.,2003,22,122,55,0.035175879
Calcif. Tissue Int.,2004,19,113,31,0.028673835
Calcif. Tissue Int.,2005,18,88,60,0.044401544
Calcif. Tissue Int.,2006,13,86,14,0.011857708
Calcif. Tissue Int.,2007,17,86,40,0.043209877
Calcif. Tissue Int.,2008,12,87,16,0.017897092
Calcif. Tissue Int.,2009,10,99,15,0.019417476
Calcif. Tissue Int.,2010,14,101,30,0.03125
Calcif. Tissue Int.,2011,7,101,12,0.013888889
Calcif. Tissue Int.,2012,7,95,13,0.018390805
Calcif. Tissue Int.,2013,6,116,7,0.013667426
Calcif. Tissue Int.,2014,5,126,5,0.006564551
Calcif. Tissue Int.,2015,1,120,1,0.002105263
Can Assoc Radiol J,2001,4,54,25,0.026515152
Can Assoc Radiol J,2002,1,44,1,0.003676471
Can Assoc Radiol J,2013,1,56,1,0.004830918
Can Assoc Radiol J,2014,1,47,1,0.004464286
Can Fam Physician,1999,6,187,8,0.004376368
Can Fam Physician,2000,2,151,2,0.00203666
Can Fam Physician,2001,3,165,6,0.002024291
Can Fam Physician,2005,7,142,12,0.008883249
Can Fam Physician,2006,5,132,7,0.001298701
Can Fam Physician,2007,2,234,3,0.001287001
Can Fam Physician,2008,3,215,4,0.003337041
Can Fam Physician,2009,3,201,5,0.002938296
Can Fam Physician,2010,4,222,15,0.003693444
Can Fam Physician,2011,4,254,6,0.003457217
Can Fam Physician,2012,3,255,12,0.004332756
Can Fam Physician,2013,1,253,2,0.000865052
Can Fam Physician,2014,1,235,1,0.00084246
Can J Aging,2012,1,36,2,0.006493506
Can J Anaesth,1999,17,187,51,0.007023705
Can J Anaesth,2000,17,190,45,0.006872852
Can J Anaesth,2001,18,184,37,0.006956522
Can J Anaesth,2002,23,162,41,0.010443864
Can J Anaesth,2003,15,164,59,0.022542831
Can J Anaesth,2004,12,138,50,0.024368231
Can J Anaesth,2005,9,142,24,0.01528777
Can J Anaesth,2006,16,171,64,0.025339367
Can J Anaesth,2007,4,112,7,0.002710027
Can J Anaesth,2008,4,81,5,0.001932367
Can J Anaesth,2009,3,86,19,0.002105263
Can J Anaesth,2010,4,104,79,0.016528926
Can J Anaesth,2012,2,101,4,0.002762431
Can J Anaesth,2013,2,111,2,0.002739726
Can J Anaesth,2015,4,117,4,0.00536193
Can J Appl Physiol,1999,4,34,5,0.013888889
Can J Appl Physiol,2001,5,48,12,0.006944444
Can J Appl Physiol,2002,6,34,8,0.012738854
Can J Appl Physiol,2003,2,61,2,0.005988024
Can J Appl Physiol,2004,6,46,13,0.015706806
Can J Appl Physiol,2005,4,47,4,0.004761905
Can J Cardiol,1999,8,187,8,0.003025719
Can J Cardiol,2000,8,157,10,0.005706134
Can J Cardiol,2001,10,120,13,0.004195804
Can J Cardiol,2002,8,109,13,0.009681881
Can J Cardiol,2004,8,161,41,0.012030075
Can J Cardiol,2005,4,154,5,0.001515152
Can J Cardiol,2006,10,143,18,0.010233918
Can J Cardiol,2007,12,146,28,0.009722222
Can J Cardiol,2008,8,177,11,0.004219409
Can J Cardiol,2009,5,197,9,0.002773925
Can J Cardiol,2010,7,149,8,0.007926024
Can J Cardiol,2011,7,146,10,0.010526316
Can J Cardiol,2012,4,126,4,0.005256242
Can J Cardiol,2013,7,293,30,0.023611111
Can J Cardiol,2014,2,295,2,0.001156069
Can J Cardiol,2015,3,220,3,0.001892148
Can J Chem,2012,1,2,1,0.5
Can J Diabetes,2013,4,98,21,0.56
Can J Diabetes,2014,1,74,10,0.05
Can J Diabetes,2015,1,107,1,0.004807692
Can J Exp Psychol,1999,2,19,10,0.013888889
Can J Exp Psychol,2003,2,25,5,0.00952381
Can J Exp Psychol,2007,1,28,1,0.00952381
Can J Exp Psychol,2013,2,24,4,0.031746032
Can J Gastroenterol Hepatol,2015,2,93,4,0.037735849
Can J Infect Dis Med Microbiol,2013,0,54,0,0.005128205
Can J Infect Dis Med Microbiol,2015,2,64,5,0.01659751
Can J Neurol Sci,1999,5,67,27,0.015686275
Can J Neurol Sci,2000,4,72,36,0.072992701
Can J Neurol Sci,2002,2,64,2,0.003134796
Can J Neurol Sci,2003,4,78,6,0.009375
Can J Neurol Sci,2004,5,87,14,0.005988024
Can J Neurol Sci,2005,6,79,7,0.005665722
Can J Neurol Sci,2007,1,88,1,0.00257732
Can J Neurol Sci,2008,5,79,8,0.004807692
Can J Neurol Sci,2009,5,155,5,0.002309469
Can J Neurol Sci,2010,3,161,3,0.003883495
Can J Neurol Sci,2012,4,126,9,0.005772006
Can J Neurol Sci,2013,2,152,2,0.00132626
Can J Plast Surg,2012,1,51,1,0.005882353
Can J Plast Surg,2013,2,42,2,0.010471204
Can J Psychiatry,1999,4,83,5,0.001545595
Can J Psychiatry,2000,3,79,8,0.009146341
Can J Psychiatry,2001,5,96,7,0.015197568
Can J Psychiatry,2002,11,73,27,0.013533835
Can J Psychiatry,2003,7,91,41,0.008955224
Can J Psychiatry,2004,5,108,7,0.002928258
Can J Psychiatry,2005,5,121,5,0.005517241
Can J Psychiatry,2006,5,102,34,0.019047619
Can J Psychiatry,2007,4,100,8,0.001447178
Can J Psychiatry,2008,2,99,4,0.00308642
Can J Psychiatry,2010,2,94,3,0.002066116
Can J Psychiatry,2012,1,95,1,0.002192982
Can J Psychiatry,2014,1,86,2,0.002207506
Can J Public Health,2000,2,104,2,0.002217295
Can J Public Health,2006,2,124,4,0.002136752
Can J Public Health,2011,1,93,3,0.00407332
Can J Surg,2000,5,80,10,0.007425743
Can J Surg,2001,4,75,7,0.005089059
Can J Surg,2004,2,93,2,0.002427184
Can J Surg,2005,2,89,11,0.019047619
Can J Surg,2007,2,87,2,0.002444988
Can J Surg,2008,4,135,7,0.012254902
Can J Surg,2009,5,178,6,0.006651885
Can J Surg,2010,2,67,4,0.001886792
Can J Surg,2011,2,67,2,0.003831418
Can J Surg,2013,1,88,3,0.007025761
Can J Surg,2014,2,91,4,0.011695906
Can J Surg,2015,2,95,2,0.00265252
Can J Urol,2011,3,85,4,0.002202643
Can J Urol,2012,2,97,2,0.004210526
Can J Urol,2014,1,105,1,0.002192982
Can J Urol,2015,1,100,1,0.002178649
Can Urol Assoc J,2009,3,152,5,0.017142857
Can Urol Assoc J,2010,3,140,6,0.015151515
Can Urol Assoc J,2011,4,163,4,0.00422833
Can Urol Assoc J,2012,4,184,5,0.001776199
Can Urol Assoc J,2013,5,280,5,0.006116208
Can Urol Assoc J,2015,6,320,6,0.004119464
Can. J. Gastroenterol.,1999,12,135,29,0.049261084
Can. J. Gastroenterol.,2000,15,143,44,0.019774011
Can. J. Gastroenterol.,2001,7,91,14,0.001976285
Can. J. Gastroenterol.,2002,4,75,33,0.046370968
Can. J. Gastroenterol.,2003,3,95,14,0.011450382
Can. J. Gastroenterol.,2004,5,89,14,0.006198347
Can. J. Gastroenterol.,2006,5,80,14,0.012953368
Can. J. Gastroenterol.,2007,7,90,16,0.007853403
Can. J. Gastroenterol.,2008,5,98,6,0.005277045
Can. J. Gastroenterol.,2009,4,87,4,0.00511509
Can. J. Gastroenterol.,2010,1,78,3,0.002352941
Can. J. Gastroenterol.,2011,3,82,4,0.002403846
Can. J. Gastroenterol.,2012,5,96,39,0.074879227
Can. J. Gastroenterol.,2013,3,87,3,0.002392344
Can. J. Microbiol.,1999,20,86,34,0.018087855
Can. J. Microbiol.,2000,39,117,91,0.050761421
Can. J. Microbiol.,2001,34,122,108,0.042222222
Can. J. Microbiol.,2002,26,104,75,0.025096525
Can. J. Microbiol.,2003,18,80,47,0.023722628
Can. J. Microbiol.,2004,29,93,72,0.051851852
Can. J. Microbiol.,2005,26,107,38,0.023715415
Can. J. Microbiol.,2006,24,126,42,0.02484472
Can. J. Microbiol.,2007,16,148,32,0.021868787
Can. J. Microbiol.,2008,14,116,50,0.043936731
Can. J. Microbiol.,2009,15,151,42,0.027729636
Can. J. Microbiol.,2010,10,108,27,0.014754098
Can. J. Microbiol.,2011,11,117,16,0.018998273
Can. J. Microbiol.,2012,15,139,18,0.02946593
Can. J. Microbiol.,2013,8,106,9,0.012259194
Can. J. Microbiol.,2014,11,92,17,0.024904215
Can. J. Microbiol.,2015,7,105,28,0.039525692
Can. J. Ophthalmol.,2001,2,46,3,0.004444444
Can. J. Ophthalmol.,2002,3,38,3,0.004739336
Can. J. Ophthalmol.,2003,2,56,2,0.004975124
Can. J. Ophthalmol.,2005,7,83,28,0.034749035
Can. J. Ophthalmol.,2006,5,85,29,0.036065574
Can. J. Ophthalmol.,2007,6,122,6,0.005555556
Can. J. Ophthalmol.,2008,5,79,26,0.014112903
Can. J. Ophthalmol.,2009,6,84,23,0.035087719
Can. J. Ophthalmol.,2010,8,64,55,0.078635015
Can. J. Ophthalmol.,2011,2,71,3,0.005502063
Can. J. Ophthalmol.,2012,4,79,4,0.001536098
Can. J. Ophthalmol.,2013,1,86,1,0.001589825
Can. J. Ophthalmol.,2014,0,87,0,0.001633987
Can. J. Physiol. Pharmacol.,1999,10,109,510,0.01061008
Can. J. Physiol. Pharmacol.,2000,12,117,27,0.014150943
Can. J. Physiol. Pharmacol.,2001,18,116,36,0.035294118
Can. J. Physiol. Pharmacol.,2002,28,128,73,0.063197026
Can. J. Physiol. Pharmacol.,2003,13,120,19,0.016513761
Can. J. Physiol. Pharmacol.,2004,14,122,19,0.007142857
Can. J. Physiol. Pharmacol.,2005,10,115,31,0.024647887
Can. J. Physiol. Pharmacol.,2006,17,120,32,0.021582734
Can. J. Physiol. Pharmacol.,2007,15,126,28,0.031716418
Can. J. Physiol. Pharmacol.,2008,9,95,13,0.00733945
Can. J. Physiol. Pharmacol.,2009,10,111,14,0.011627907
Can. J. Physiol. Pharmacol.,2010,8,125,10,0.013645224
Can. J. Physiol. Pharmacol.,2011,5,101,5,0.005859375
Can. J. Physiol. Pharmacol.,2012,9,156,26,0.025210084
Can. J. Physiol. Pharmacol.,2013,4,137,5,0.005586592
Can. J. Physiol. Pharmacol.,2014,5,126,14,0.014234875
Can. J. Physiol. Pharmacol.,2015,4,128,4,0.007092199
Can. J. Vet. Res.,1999,11,36,22,0.02764977
Can. J. Vet. Res.,2000,9,36,19,0.00952381
Can. J. Vet. Res.,2001,5,38,7,0.009852217
Can. J. Vet. Res.,2002,13,33,36,0.021052632
Can. J. Vet. Res.,2003,5,48,14,0.027624309
Can. J. Vet. Res.,2004,7,46,9,0.016042781
Can. J. Vet. Res.,2005,5,42,8,0.005128205
Can. J. Vet. Res.,2006,9,41,25,0.035175879
Can. J. Vet. Res.,2008,3,59,3,0.005076142
Can. J. Vet. Res.,2009,3,44,4,0.009661836
Can. J. Vet. Res.,2010,6,46,8,0.014492754
Can. J. Vet. Res.,2011,3,46,4,0.019138756
Can. J. Vet. Res.,2012,3,43,9,0.033175355
Can. J. Vet. Res.,2014,2,44,2,0.010362694
Can. J. Zool.,2013,1,0,1,1
Can. Respir. J.,2012,1,61,1,0.004444444
Can. Respir. J.,2013,3,63,3,0.013333333
Can. Respir. J.,2014,1,67,1,0.003831418
Can. Vet. J.,1999,3,180,5,0.002770083
Can. Vet. J.,2001,5,149,19,0.001392758
Can. Vet. J.,2002,9,126,10,0.004219409
Can. Vet. J.,2003,9,130,16,0.007132668
Can. Vet. J.,2004,5,147,7,0.003058104
Can. Vet. J.,2005,4,149,4,0.001552795
Can. Vet. J.,2006,9,145,18,0.010802469
Can. Vet. J.,2007,7,158,11,0.005997001
Can. Vet. J.,2008,5,133,6,0.001459854
Can. Vet. J.,2010,3,175,4,0.001488095
Can. Vet. J.,2011,4,182,11,0.014306152
Can. Vet. J.,2012,1,173,2,0.001371742
Can. Vet. J.,2013,2,162,2,0.002607562
Can. Vet. J.,2014,2,158,2,0.002547771
Can. Vet. J.,2015,1,191,1,0.001305483
Cancer Biol. Ther.,2003,58,56,207,0.480314961
Cancer Biol. Ther.,2004,61,136,179,0.228873239
Cancer Biol. Ther.,2005,90,139,233,0.162705667
Cancer Biol. Ther.,2006,87,189,370,0.16730038
Cancer Biol. Ther.,2007,87,198,233,0.086458333
Cancer Biol. Ther.,2008,84,238,263,0.108715184
Cancer Biol. Ther.,2009,95,253,287,0.127768313
Cancer Biol. Ther.,2010,92,232,205,0.082822086
Cancer Biol. Ther.,2011,64,191,143,0.059970015
Cancer Biol. Ther.,2012,38,134,76,0.042901716
Cancer Biol. Ther.,2013,28,119,63,0.034421889
Cancer Biol. Ther.,2014,25,167,43,0.033953998
Cancer Biol. Ther.,2015,28,173,65,0.075544174
Cancer Biomark,2010,23,97,39,0.138888889
Cancer Biomark,2011,5,31,7,0.028169014
Cancer Biomark,2012,5,45,7,0.017857143
Cancer Biomark,2013,4,52,4,0.008064516
Cancer Biomark,2014,1,53,1,0.003676471
Cancer Biomark,2015,3,101,3,0.014705882
Cancer Biother. Radiopharm.,1999,17,32,92,0.124183007
Cancer Biother. Radiopharm.,2000,16,42,85,0.104265403
Cancer Biother. Radiopharm.,2001,24,27,73,0.112612613
Cancer Biother. Radiopharm.,2002,27,33,90,0.116591928
Cancer Biother. Radiopharm.,2003,30,62,103,0.095041322
Cancer Biother. Radiopharm.,2004,24,56,60,0.082437276
Cancer Biother. Radiopharm.,2005,21,55,60,0.083056478
Cancer Biother. Radiopharm.,2006,13,49,20,0.030769231
Cancer Biother. Radiopharm.,2007,16,79,36,0.039393939
Cancer Biother. Radiopharm.,2008,20,59,70,0.066066066
Cancer Biother. Radiopharm.,2009,21,65,221,0.267692308
Cancer Biother. Radiopharm.,2010,19,69,76,0.09939759
Cancer Biother. Radiopharm.,2011,15,69,26,0.04735376
Cancer Biother. Radiopharm.,2012,9,83,18,0.026011561
Cancer Biother. Radiopharm.,2013,7,90,10,0.025
Cancer Biother. Radiopharm.,2014,3,58,7,0.016172507
Cancer Biother. Radiopharm.,2015,3,55,4,0.011764706
Cancer Causes Control,2000,4,111,7,0.002881844
Cancer Causes Control,2001,5,104,6,0.002638522
Cancer Causes Control,2003,7,106,8,0.004750594
Cancer Causes Control,2004,5,106,8,0.004338395
Cancer Causes Control,2005,9,128,10,0.015250545
Cancer Causes Control,2006,10,128,17,0.010245902
Cancer Causes Control,2007,7,107,11,0.017241379
Cancer Causes Control,2008,6,132,7,0.003809524
Cancer Causes Control,2009,15,190,17,0.014466546
Cancer Causes Control,2010,10,224,11,0.00805153
Cancer Causes Control,2011,4,168,5,0.004225352
Cancer Causes Control,2012,6,210,7,0.005215124
Cancer Causes Control,2013,6,212,9,0.007125891
Cancer Causes Control,2014,1,165,2,0.002336449
Cancer Causes Control,2015,1,177,1,0.001265823
Cancer Cell Int.,2011,10,34,14,0.07826087
Cancer Cell Int.,2012,6,48,10,0.04964539
Cancer Cell Int.,2013,24,98,61,0.25
Cancer Cell Int.,2014,12,128,23,0.070895522
Cancer Cell Int.,2015,17,106,29,0.058333333
Cancer Cell,2003,85,41,1006,1.992424242
Cancer Cell,2004,109,27,1081,1.176691729
Cancer Cell,2005,86,35,786,0.597590361
Cancer Cell,2006,76,41,801,0.563432836
Cancer Cell,2007,72,43,567,0.418426104
Cancer Cell,2008,80,42,417,0.382936508
Cancer Cell,2009,78,57,576,0.630480167
Cancer Cell,2010,82,63,559,0.572008114
Cancer Cell,2011,97,68,506,0.547024952
Cancer Cell,2012,91,78,404,0.44288225
